text;class
Odpowie mi dziś echem i za swoje córy wyda;metal
Jesteś królem świata... w twoim małym snie;metal
Tu nieodwracalne... w żywe zmienia się;metal
Zło zwyciężasz dobrem...;metal
Nie wiesz co to lęk...;metal
Nieprawdopodobne...;metal
W pewność zmienia się...;metal
W twoim świecie cudów... jest ogromny mur...;metal
Mieszka za nim Pokrak... zna miliony bzdur...;metal
Jeśli w to uwierzysz... wszystko zmieni się...;metal
Niewyobrażalnie... zmieni się...;metal
Kiedy zapadnie zmierzch...;metal
Cienie otoczą cię ze wszystkich stron;metal
Wtedy nadejdzie strach...;metal
Ja nie odstąpię cię nawet na krok;metal
Kiedy zapłonie dzień...;metal
Ciemność prawdziwa roztoczy swój blask;metal
Wtedy nadejdzie czas...;metal
Kostian z Trumianem rozpoczną swój marsz...;metal
Będę tu gdy zaśniesz... chronił twoje sny;metal
Wąż wypełza zawsze... czeka już u drzwi;metal
Jeśli go wpuścimy... wpełznie do twych... ust...;metal
I nieodwracalnie... kliknie... (spust);metal
Kiedy zapadnie zmierch...;metal
A cienie otoczą cię ze wszystkich stron;metal
Wtedy nadejdzie strach...;metal
Będę przed tobą zaszywał twój sen;metal
Kiedy zapłonie dzień...;metal
Twoje demony zamienią się w kształt;metal
Wtedy nadejdzie czas...;metal
... który prawdziwy pokaże ci świat... świat...;metal
Każdy sen... kończy się...;metal
Kiedy zapadnie zmierch...;metal
Cienie otoczą cię ze wszystkich stron;metal
Wtedy nadejdzie strach...;metal
On nie odstapi cię nawet na krok;metal
Kiedy zapłonie dzień...;metal
Ciemność prawdziwa roztoczy swój czar;metal
Wtedy nadejdzie czas...;metal
... kiedy prawdziwy przywita cię świat!;metal
Śniłeś o wolności... to za milion lat;metal
Bedziesz musiał walczyć... o piękniejszy świat;metal
Jeśli w to uwierzysz... wszystko zmieni się;metal
Niewyobrażalnie... zmieni cię...;metal
Kiedy sen... skończy się...;metal
Pamiętaj KAŻDY dzień!;metal
Kiedy zapadnie zmierzch...;metal
Cienie otoczą cię ze wszystkich stron;metal
Wtedy nadejdzie strach...;metal
On nie odstapi cię nawet na krok;metal
Kiedy zabraknie mnie...;metal
Zawsze pamiętaj, że życie to dar;metal
Nigdy nie poddaj się...;metal
... kiedy PRAWDZIWY przywita cię świat...;metal
Za panowania króla Stanisława;metal
Mięszkał ubogi szlachcic na Podolu;metal
Wysoko potém go wyniosła sława;metal
Szczęścia miał mało w życiu, więcéj bolu;metal
Albowiem była to epoka krwawa;metal
I kraj był cały na rumaku, w polu;metal
Łany, ogrody leżały odłogiem,;metal
Zaraza stała u domu za progiem.;metal
Maurycy Kaźmierz Zbigniew miał z ochrzczenia;metal
Imiona rodne nazwisko Beniowski.;metal
Tajemniczą miał gwiazdę przeznaczenia,;metal
Co go broniła jako częstochowski;metal
Szkaplerz - od dżumy, głodu, od płomienia;metal
I od wszystkich plag - prócz śmierci i troski;metal
Bo w życiu swoim namartwił się bardzo,;metal
A umarł, choć był z tych, co śmiercią gardzą.;metal
Młodość miał bardzo piękną, niespokojną.;metal
Ach! taką tylko młodość nazwać piękną,;metal
Która zaburzy pierś jeszcze niezbrojną,;metal
Od któréj nerwy w człowieku nie zmiękną,;metal
Ale się staną niby harfą strojną;metal
I bite pieśnią zapału, nie pękną.;metal
Przez całą młodość pan Beniowski bujnie;metal
Za trzech ludzi czuł - a więc żył potrójnie.;metal
Wioseczkę małą miał - ale dziedziczną,;metal
Dwadzieścia miał lat - był u siebie panem.;metal
Spraszał do domu szlachtę okoliczną,;metal
Fortunka jego ciągle ciekła dzbanem.;metal
Miał nadto proces i sprawę graniczną;metal
A prędzéj sprawę wygrałby z szatanem;metal
Słowem, że przyszło do długów i fantów.;metal
Pozbył się naprzód klinów i futorów.;metal
Potém i konie wyprzedał z uprzężą -;metal
Nie znano wtedy jeszcze w Polsce szorów,;metal
O które żony dziś mężów ciemiężą;metal
Pozbył się potém swoich białozorów,;metal
Regentowi dał charty, w rękę księżą;metal
Ostatnie grosze dwa za ojca duszę;metal
I na ornaty dwa ojca kontusze.;metal
Z tych majątkowych ostatnich konwulsji;metal
Nie zyskał, jedno wyrok przeciw sobie;metal
Wyrok, w którym rzecz była o ekspulsji.;metal
Mało o to dbał (tracąc na chudobie,;metal
Dzisiaj są ludzie młodzi stokroć czulsi),;metal
Na drugą wioskę et si non mi noces,;metal
Fortuna - z wioską nabędę i proces.;metal
"I znowu mój syn będzie miał przyjemność;metal
Z palestrą jadać i być Akteonem,;metal
I na przyjaciół wzdychać niewzajemność,;metal
I stać, tak jak ja, pod ciemnym jesionem,;metal
Który mój ojciec sadził... O nikczemność!...";metal
Tu pan Kazimierz jęknął harfy tonem;metal
I na szumiący jesion łzawo spojrzał.;metal
W téj chwili zyskał trochę - trochę dojrzał.;metal
Trochę skorzystał w sobie jako prawnik,;metal
Trochę skorzystał jak człowiek odarty,;metal
Na którego sam pan sędzia, zastawnik;metal
I regent - niby trzy głodne lamparty;metal
Lub jako muły puszczone na trawnik,;metal
Lub jak na duszę rozsierdzone czarty;metal
Wpadli, ogryźli i na pocieszenie;metal
Rzecz zostawili słodką - doświadczenie.;metal
O doświadczenie! ty jesteś pancerzem;metal
Dla piersi, w któréj serce nie uderza;metal
Jesteś latarnią nad morskim wybrzeżem,;metal
Do któréj człowiek w dzień pochmurny zmierza;metal
O doświadczenie! jesteś ciepłym pierzem;metal
Dla samolubów tyś gwiazdą rycerza,;metal
Bawełną w uszach od ludzkiego jęku;metal
Dla mnie, śród ciemnéj nocy - świecą w ręku.;metal
Lecz pan Beniowski liczył lat dwadzieścia,;metal
O doświadczenie jak o grosz złamany;metal
Nie dbał - wolałby mieć wioskę i teścia,;metal
To jest ślubem być dozgonnym związany;metal
Z panną Anielą. - Téj sztuka niewieścia;metal
Sprawiła, że był srodze zakochany;metal
Na gitarze grał i rym śpiewał włoski,;metal
I wszystko dobrze szło - dopóki wioski;metal
Okropne słowa! jeśli nie zabiją,;metal
To serce schłoszczą tysiącami biczów.;metal
Panna Aniela, dziewczę z białą szyją,;metal
Była z rodziny dostatniéj A...wiczów...;metal
Kochała wiernie - wierność była w modzie;metal
Lecz ojciec - ten stał jak mur na przeszkodzie.;metal
Mimo to jednak Aniela, jak róże,;metal
Co nad wysoki mur liściem wybiegną;metal
Patrzeć na słońce - oczy miała duże,;metal
Czarne - jak róże, co się nad mur przegną;metal
I mimo czujne ogrodowe stróże;metal
Zerwaniu chłopiąt i dziewcząt ulegną,;metal
A potém gorzki los tych niewiniątek;metal
Więdnąć na włosach i sercach dziewczątek;metal
Aniela - mimo ojcowskie czuwanie -;metal
Widywała się ze swoim Zbigniewem.;metal
Kronika milczy, czy to widywanie;metal
Odbywało się pod jaworu drzewem,;metal
W godzinę, kiedy słychać psów szczekanie,;metal
Kiedy słowiki wywołują śpiewem;metal
Księżyc spod ziemi lecz pozwól, asindziéj,;metal
Że się nie mogli widywać gdzie indziéj...;metal
Zwłaszcza o innéj porze... Ojciec srogi,;metal
Do tego wielki oryginał, splennik;metal
Wierzył i wierzył w proroctwa i w sennik,;metal
Chrystusa także krwią oblane nogi;metal
Całował zwał się cesarzów plemiennik...;metal
Słowem, była to dziwna meskolancja;metal
Świętości, złota, folgi - jak monstrancja.;metal
To porównanie pojąłbyś od razu,;metal
Gdybyś go widział w złocistym szlafroku,;metal
Z łbem łysym, gdzie jak z Rembrandta obrazu;metal
Odstrzeliwało słońce kiedy w mroku;metal
Adamaszkowych purpur stał jak z głazu;metal
Kłaniającym się ludziom na widoku;metal
I stał jak martwy, niczym się nie wzruszył,;metal
Lecz widać było, że żył - bo się puszył.;metal
Zamek jego stał nad rzeczką Ladawą,;metal
Na skale, a pod skałą staw był wielki.;metal
W tym stawie widać było twarz jaskrawą;metal
Słońca i białe łabędzie Anielki;metal
Grobelka z młyńską u końca zastawą,;metal
Za groblą kościół Panny Zbawicielki;metal
Z trzema wieżami baniastymi w złocie;metal
I chat okienka niby oczy kocie.;metal
Wszystko to było dziwnie piękne, cudne!;metal
Zwłaszcza że szlachcic, wielki oryginał,;metal
Góry uczynił do przebycia trudne,;metal
Wężowe w skałach ścieżki powycinał;metal
I między róże, co rosły odludne,;metal
W ręku swym trzymał i twarz miał brodatą -;metal
Skąd łatwo było poznać, że to Kato;metal
Apollo w morzu zostawił koszulę;metal
I na Starosty górach stał bez listka;metal
Daléj w egipskich katakombach... ule;metal
Daléj posągi, którym koniec świstka;metal
Wyłaził z gęby i przemawiał czule;metal
Do pana zamku jak do Antychrystka...;metal
Albowiem wszystkie te pomysły pańskie;metal
Nie katolickie były - lecz pogańskie.;metal
W ogrodzie stała jakaś larwa niema,;metal
Czarna, ogromna, rozrosła szeroko;metal
Był to krzesany dąb na Polifema.;metal
Jedno w koronie miał wybite oko,;metal
A tyle widział nieba, co obiema,;metal
I nad sadzawką coś dumał głęboko,;metal
Na deszcz miał czarny wzrok, jasny w pogodę.;metal
Naprzeciw była bardzo ciemna grota;metal
Przed nią się nieraz siwy rybak skłoni,;metal
Gdy go na stawie ogarnie ciemnota,;metal
A sieci pluszczą śród spokojnych toni;metal
Albowiem w grocie Matka Boska złota,;metal
Z wieńcem różanych lamp na jasnéj skroni,;metal
Jako Dyjana o poranku biała,;metal
Na staw z różanéj tęczy wyzierała...;metal
Słowem, było to istne głupstwa wzgórze,;metal
Zwierciadło czyste cnego antenata,;metal
Na którym meszty świeciły papuże,;metal
Rzymska, purpurą bramowana szata,;metal
Przy ucztach często na łysinie - róże,;metal
A w ręku czara ze śmiercią Sokrata,;metal
Tak dobrze, wiernie wykowana rylcem -;metal
Że kto pił, zdał się mędrcem - nie opilcem.;metal
Z tego wszystkiego pan Kazimierz śmiał się.;metal
Lecz zakochany w cudownéj Anieli,;metal
Wyjawić szczerze swoich myśli bał się;metal
Polubił nawet te posągi w bieli,;metal
Te groty od lamp różane - i stał się;metal
Nabożnym bardzo w każdéj skalnéj celi;metal
W każdéj albowiem była jego droga;metal
I w każdéj po niéj została część Boga -;metal
Woń jakaś, jakiś duch nieprzenikliwy,;metal
Co myśli wtrącał i duszę w marzenia.;metal
Każdy z nas miał kraj młodości szczęśliwy,;metal
Kraj, co się nigdy w myślach nie odmienia.;metal
Ja sam, com widział Chrystusa oliwy,;metal
Góry z marmuru i góry z płomienia,;metal
Wolę - i sądzę najpiękniéjszą z krajów;metal
Jedną maleńką wieś, pełną ruczajów,;metal
Pełną łąk jasnych, gdzie kwitnie wilgotna;metal
Konwalia, pełną sosen, kalin, jodeł;metal
Gdzie róża polna błyszczy się samotna,;metal
Gdzie brzozy jasnych są kochanką źródeł -;metal
- A zaś przyczyna temu jest istotna,;metal
Że na tych bagnach, gdzie potrzeba szczudeł,;metal
Jam wtenczas bujał na młodości piórach,;metal
Jasny i chmurny - jako księżyc w chmurach.;metal
O Melancholio! nimfo! skąd ty rodem?;metal
Czyś ty chorobą jest epidemiczną?;metal
Skąd przyszłaś do nas? Co ci jest powodem,;metal
Że teraz nawet szlachtę okoliczną;metal
Zarażasz? - Nimfo! za twoim przewodem;metal
Ja sam wędrówkę już odbyłem śliczną!;metal
I jestem dzisiaj - niech cię porwie trzysta!;metal
-Nie Polak - ale istny bajronista...;metal
Trochę w tym wina jest mojéj młodości,;metal
Trochę - tych grobów, co się w Polszcze mnożą,;metal
Trochę - téj ciągłéj w życiu samotności,;metal
Trochę - tych duchów ognistych, co trwożą,;metal
Palcami grobów pokazując kości,;metal
Które się na dzień sądny znów ułożą;metal
I będą chodzić skrzypiąc, płacząc, jęcząc,;metal
Aż wreszcie Pana Boga skruszą - dręcząc.;metal
Prześliczna strofa! mógłbym zacząć od niéj;metal
Nowy poemat, jak Sąd ostateczny;metal
I przy eumenid pokazać pochodni,;metal
Jak jest grzech każdy dziwnie niebezpieczny;metal
Jak w jasnym niebie daleko jest chłodniéj;metal
Niż w piekle, kędy płonie ogień wieczny;metal
Lecz wolę dzieło to rzucić na późniéj,;metal
Bo do porządku mnie wołają woźni...;metal
Ci woźni są to krytycy. - Kolego,;metal
Byłżeś w Arkadii téj, gdzie jezuici;metal
Są barankami?... Pasą się - i strzegą;metal
Psów i tym żyją, co ząb ich uchwyci;metal
Na pięcie wieszcza. Kraina niczego!;metal
Pełna wężowych ślin, pajęczych nici;metal
I krwi zepsutéj - niebieska kraina,;metal
Co za pieniądze bab - truć nas zaczyna.;metal
O Polsko! jeśli ty masz zostać młodą;metal
I taką jak ta być, co dzisiaj żyje,;metal
I być ochrzczona tą przeklętą wodą,;metal
Któréj pies nie chce, wąż nawet nie pije;metal
Jeśli masz z twoją rycerską urodą;metal
Iść między ludy jak wąż, co się wije;metal
Zostań, czym jesteś - ludzi wielkich prochem!;metal
Ale to próżna dla ciebie przestroga!;metal
Ciebie anieli niebiescy ostrzegą;metal
O każdéj czarze - czy to w niéj przez wroga,;metal
Czyli przez węża i pająka swego;metal
Wlane są jady. - Jesteś córką Boga;metal
I siostrą jesteś Ukrzyżowanego.;metal
Ciebie się żadna trucizna nie imie;metal
Krzyż twym papieżem jest - twa zguba w Rzymie!;metal
Czy będziesz czekać, aż twój łańcuch zjedzą?;metal
Czy ty rozwiniesz twoje mściwe bractwa,;metal
Czekając na tych, co pod tronem siedzą;metal
I krwią handlują, i duszą biedactwa,;metal
I sami tylko o swym kłamstwie wiedzą,;metal
I swym bezkrewnym wyszydzają palcem;metal
Człeka, co nie jest trupem - lub padalcem.;metal
Lecz pokój z nimi!... Nie, ten brud ruchomy;metal
Nie zna pokoju - więc życzenie próżne!;metal
Niechaj więc włażą w zakrwawione domy,;metal
Niech plwają na miecz - stworzenia ostróżne,;metal
Aby zardzewiał, nim będzie łakomy;metal
Ich zgiętych karków, niech mają usłużne,;metal
W jadzie maczane pióra - dusze w bagnie,;metal
Czołem bijący w marmur Chrystusowy,;metal
Kiedym się skarzył na klątwy i zdrady,;metal
Tom się i o ten kielich krwi octowy;metal
Z niego nie wyszły - lecz z urwanéj głowy;metal
Ten polip odrósł i lud wyssał blady.;metal
Wygnać go była kiedyś wielka praca...;metal
Ma nas za trupa ten szakal - i wraca.;metal
Precz z nim, lub jeśli przyczołgnie się żmija,;metal
Pod Boga skrzydło kryjmy się i gromy. -;metal
Lecz widzę, że mię ten liryzm zabija,;metal
Że na Parnasu szczyt prowadzi stromy,;metal
Kiedy czytelnik tę górę omija;metal
I woli prosty romans, polskie domy,;metal
Pijące gardła, wąsy, psy, kontusze;metal
A nade wszystko szczere, polskie dusze.;metal
Wszystko mieć będzie, wszystko mu przyrzekam,;metal
Tylko o trochę cierpliwości proszę.;metal
Ja sam na muzę i natchnienie czekam;metal
I czoło moje pomarszczone noszę,;metal
I poematu ekspozycją zwlekam,;metal
I weny ducha lekkiego nie płoszę,;metal
Który na mózgu jak motyl na róży;metal
Usiądzie - aż się kwiat listkami zmruży,;metal
A potém nagle odemknie swe łono;metal
Świeże i jasne - i na okolice;metal
Rozeszle wonie, co wszystko pochłoną. -;metal
Ja się zdolnością natchnień bardzo szczycę;metal
I tu pokażę, że nie jest zmyśloną,;metal
Lecz z moich rymów czyni błyskawice,;metal
A mym przekleństwom daje siłę grotów.;metal
Czekajcie! - już pieśń zacznę - jużem gotów.;metal
Był wieczór. - Z kwiatów wychodziły wonie;metal
Melancholiczne, ciemniał las dębowy.;metal
Jeden dla siebie, na drugim domowy;metal
Miał jechać sługa. Beniowski na skronie -;metal
Lecz nie poemat pisząc, tylko gadkę,;metal
Powiem, że tylko wdział - konfederatkę.;metal
Zapiął na piersiach szpencer z barankami,;metal
Zawiesił burkę z tygrysimi łapy,;metal
Wsiadł na koń, spojrzał na ganek ze łzami,;metal
Pogłaskał konia - koń otworzył chrapy;metal
I w ciemną domu sień zaparskał skrami;metal
Na pożegnanie. Klasły dwa harapy -;metal
Pana i sługi... I pan ze swym sługą;metal
Wyszli z rodzinnych progów - i na długo.;metal
O! gdyby wtenczas jaka nimfa smętna,;metal
"Już ty nie wrócisz! i stopy twéj piętna;metal
Są tu ostatnie! - lecz jeśli twe dzieła;metal
Ten dom, z którego cię nędza wypchnęła,;metal
Będzie świątynią, a te ciche świerki;metal
Pójdą na krzyże i na tabakierki,;metal
"A twe koszule porżną na szkaplerze,;metal
A twe papiery - choćby to był tylko;metal
Od ekonoma list albo przymierze;metal
Wiecznéj miłości z Handzią lub Marylką -;metal
Sawantka łzami rzewnymi wypierze;metal
I w sztambuch wklei albo przypnie szpilką;metal
Że twa peruka - jeśli masz perukę -;metal
Frenologistów podeprze naukę;metal
"Że twój but prawy powieszą w Sybilli,;metal
A o znikniony lewy będą skargi". -;metal
Nie mówię więcéj, bo mój rym już kwili;metal
I łzami się już zalewają wargi!;metal
Lecz gdyby jaka nimfa w owéj chwili,;metal
Kiedy nasz rycerz na świata zatargi;metal
Puszczał się, takie proroctwo wyrzekła,;metal
Uczułby w sercu coś - coś na kształt piekła...;metal
O! dzika żądzo pośmiertnego żalu!;metal
Jakim ty jesteś smutnym głupstwem ludzi!;metal
Zwłaszcza że wiedziesz prosto do szpitalu;metal
Rozmarzonego. A nim się obudzi,;metal
Już w jego oczach, jak w mglistym opalu,;metal
Błyskają światła, szpitalnicy chudzi,;metal
Mniszek pacierze, trumien robotnicy,;metal
Mgła - za tą chmurą Pan Bóg na kształt świécy.;metal
Ale to wszystko jedno. - Nasz bohater;metal
Dom swój opuszczał ze swym starym sługą,;metal
Jak opuszczała swój dom panna Plater...;metal
A kiedyś, dawniéj, Czarnecki z kolczugą...;metal
Ach, tak jak późniéj nasz sejmowy krater,;metal
Który wybuchnął wielką, jasną fugą;metal
Z Warszawy - Wisłę przewędrował promem...;metal
I mówi, że jak ślimak wyszedł z domem...;metal
Ach, tak jak sztaby, klub i wszyscy święci,;metal
Co dzisiaj w każdém są kalendarzyku;metal
Emigracyjnym, niby z krzyża zdjęci;metal
Jak ja nareszcie, co w tym słoneczniku;metal
Muszę się kręcić, bo się ze mną kręci;metal
Za każdém słońcem - słońc mamy bez liku!;metal
I trzeba dobrze nam tą myślą przesiąc,;metal
Że dla niezgody słońc - królem jest miesiąc.;metal
Lecz to dla innych wieszczów ta bez twarzy;metal
Walka, jak w dawnéj Skandynawów wierze;metal
Wojna niebieskich krwawych luminarzy.;metal
Teraz niech nowi wystąpią rycerze,;metal
Ułani, dawnych synowie husarzy,;metal
Którym krew ruska chorągiewki pierze.;metal
Pan Kaźmierz jechał takim być ułanem -;metal
Kłaniało mu się zboże całym łanem,;metal
Kłosek mu każdy dziękował ugięty,;metal
Bławatek każdy mu się przypatrywał;metal
Ani się skarzył, choć kopytem ścięty.;metal
Beniowski jechał cicho - sługa śpiéwał;metal
Jedną z tych pieśni, w których jęk zamknięty;metal
A głos po łanach złocistych przepływał;metal
I wpadał w ciemny las, na dębów słuchy,;metal
Te drżały bijąc skrzydłami jak duchy.;metal
Ciemniało. - Rycerz wyjechał nad jary,;metal
Skąd rzucił okiem na dom swéj kochanki.;metal
Skała ta jako wielki obłok szary;metal
Stała nad stawem nad nią były wianki;metal
Drzew ogrodowych i dom wielki, stary,;metal
Z płomienistymi okny i krużganki.;metal
Całą téj górze postać ekscentryczną;metal
Odjęła złota noc swą szatą śliczną.;metal
Nie widać było posągu Junony,;metal
Dalekim oczom zniknął gdzieś Apollo;metal
Ale dąb widać było zamyślony,;metal
Co stał nad zamkiem, żeniony z topolą;metal
Lecz z zamku księżyc wybuchał czerwony;metal
Jak smutny aktor, co z Hamleta rolą;metal
Wyjdzie na scenę. Księżyc wstąpił krwawy;metal
I oczerwieniać zaczął staw Ladawy.;metal
Pan Kaźmierz był z tych, co stawią na tuza;metal
Cały majątek przegrał go i plunął -;metal
Lecz patrząc na ten dom, gdzie wziął harbuza;metal
I z nadziei swych na wiek wieków runął,;metal
Westchnął! - i wzniosła mu się w piersiach śluza,;metal
Łzami się zalał i z siodła się sunął;metal
Jak człowiek, który dostał nagle mdłości. -;metal
"Święta Maryjo, ratuj! dziecko kona!";metal
Odepchnął sługę, co go brał w ramiona,;metal
W konfederatkę się chlasnął i w ciemię,;metal
Spojrzał na księżyc, co zeń jak z Memnona;metal
Wydobył jęki, i całe trosk brzemię;metal
Takim westchnieniem wielkim w księżyc cisnął,;metal
Westchnąwszy jechał daléj brzegiem jaru,;metal
A za nim sługa w ceglastym kontuszu.;metal
Smutnemu wiatr się zdaje pełen gwaru,;metal
Litość aniołów brzęczy koło uszu,;metal
Smutny jest gotów do bójki i swaru,;metal
Gorączkowego pełen animuszu.;metal
Takim Beniowski był i jego lozak -;metal
Szczęściem, że żaden się nie zjawił Kozak,;metal
Bo w takiéj chwili kochanek rozpaczny;metal
Gorszy niż lwica Wirgilla hirkańska.;metal
Jechał więc smutny rycerz za nim baczny;metal
Na wszystko jechał Grześ - a wódka gdańska;metal
W skórzanéj flaszy dźwięk dawała smaczny;metal
I bełkotała ta nimfa szatańska;metal
Właśnie jak gołąb, co z miłości grucha,;metal
Lub poetyczna na Litwie ropucha.;metal
Słysząc, jak słodko zapraszała flasza,;metal
Spróbował jéj Grześ raz, dwa i trzy razy;metal
I w oczach mu się wnet zrobiła kasza;metal
Z gwiazd, a sam księżyc był szperką, a głazy;metal
Ludźmi. Więc jako żona Eneasza -;metal
Został się w Troi, z konia spadł na ślazy,;metal
I tak bohater zbył swojego sługi -;metal
Ale za koniem jego szedł koń drugi...;metal
I było coraz ciemniéj... wtem - o cuda! -;metal
Na nim siedziała jakaś wiedźma ruda,;metal
Gałąź pokrzywy miała zamiast bicza -;metal
Tu widzę, że mi się poemat uda,;metal
Że mi już muza swoich łask użycza;metal
Więc daléj! wieszczów galopem wyprzedźmy,;metal
Jest ex machina deus - w kształcie wiedźmy. -;metal
Więc, jak powiadam, zrównały się konie.;metal
Beniowski nagle ocknął się i wzdrygnął;metal
Widząc, że siedział czart w srebrnéj koronie;metal
Na koniu, co go jak wicher prześcignął...;metal
I wziął z Kaźmierza rąk w kościane dłonie;metal
Lejce, i stepem zamroczonym śmignął;metal
Ciągnąc za sobą mojéj pieśni syna.;metal
Że Polak daje się wieść - nie nowina!;metal
Widziałem... Ale stój, muzo! bieg krzywy;metal
Tu nie przystoi wcale. - Miesiąc świeci,;metal
Na koniu wiedźma gałęzią pokrzywy;metal
Smaga po zadzie konia i tak leci;metal
W srebrnéj koronie jak anioł straszliwy,;metal
O którym roją na pół senne dzieci,;metal
Że ma koń ze mgły, z wężów srebrnych bicze,;metal
Skrzydła ogniste i niańki oblicze...;metal
I coraz prędzéj, jakby anioł zgonu;metal
Pędził za naszym rycerzem i babą.;metal
Dźwięk głuchy kopyt jak jęczenie dzwonu,;metal
Jako tętnienia echo jęczał słabo,;metal
A ręka wiedźmy jak liść wielki klonu,;metal
Gdy sczerwieniéje, lub jak mówi Strabo,;metal
Za lejc trzymała swój - i lejc rycerza.;metal
W zawrocie głowy rycerz wlepił oczy;metal
W tę rękę z trzema czerwonymi żyły.;metal
A więc rozmyślał, czy z konia zeskoczy -;metal
Ale mu jego koń był bardzo miły -;metal
Czy świśnie szablą, aż się łeb potoczy;metal
I spadnie z karku wiedźmy do mogiły -;metal
Ale i ta myśl druga, i ta chętka;metal
Zdawała mu się niezła - lecz za prędka.;metal
A tu bym wiedzieć chciał twe mądre zdanie,;metal
Gdyby cię takie spotkało porwanie;metal
I nie spodziewał się znikąd odsieczy,;metal
I widział taką rękę, mości panie!;metal
Czerwoną? - do miliona krwawych mieczy!;metal
Taką ohydną rękę? pełną kości,;metal
Co pozbawiła cię ludzkiéj godności!;metal
Zwłaszcza jeżeli jesteś demokratą;metal
I o swą godność indywidualną;metal
Dbasz wielce - co byś więc powiedział na to?;metal
Gdybyś przez babę tak suchą! fatalną!;metal
I - nie wiem pewnie - lecz może wąsatą;metal
Sę-symonistkę i nie idealną,;metal
Ale kościaną, był pozbawion woli;metal
I tchu i czynił to, co godność boli?;metal
Nie wiesz? - Więc sobie zamawiam twą łaskę;metal
Nadal, na rzeczy ważniejszych sądzenie. -;metal
Beniowski więc wpadł w szatańską zatrzaskę,;metal
Widzę w tym jego gwiazdę - przeznaczenie!;metal
I leciał jak wiatr, patrząc w bladą maskę,;metal
Którą słoneczne wkładają promienie;metal
Na twarz księżyca a w tym prędkim biegu;metal
Świat mu się cały zdawał kłębem śniegu.;metal
Nagle - zwolniła kroku przewodniczka,;metal
Roześmiała się, zeskoczyła z siodła.;metal
Beniowski siedział na koniu jak świéczka,;metal
Patrząc, gdzie go ta wędrówka zawiodła.;metal
Ujrzał, że chwastem zarosła uliczka,;metal
Między skałami - co mogą za godła;metal
Służyć dwóm sercom rozdartym na wieki -;metal
Wiodła go prosto - prosto - do pasieki.;metal
Pasiekę tę znał dobrze i te skały,;metal
I tę ścieżeczkę, pełną rudéj glinki.;metal
Tutaj pasterskie roił ideały -;metal
Z których czytelnik może robić drwinki. -;metal
Starosta córce dał ten gaik mały;metal
I od niéj nazwał miejsce - Anielinki.;metal
A zaś ta wiedźma, na pozór straszliwa,;metal
Była to niańka panny, stara Diwa.;metal
Poznał ją rycerz i za tę czerwoną,;metal
Za tę ibisa rękę wnet uścisnął.;metal
"Więc ty Irydą jesteś, a Junoną;metal
Jest twoja pani? Teraz obłok prysnął!;metal
Ach, widzę, jaką miałem myśl szaloną!;metal
I co bym zrobił, gdybym szablą świsnął;metal
I odciął ci tę rękę, Diwo stara.;metal
Drugi raz nie graj w diabła i w Tatara".;metal
Tak mówiąc, za swą Diwą szedł z pośpiechem;metal
I ze skał wyszli na łąkę zieloną,;metal
Na którą księżyc spoglądał z uśmiechem;metal
Widząc tysiącznych róż otwarte łono.;metal
Chata, nakryta prostéj słomy wiechem,;metal
Ścieniona lipy ogromnéj koroną,;metal
Stała na łące, w najciemniéjszéj głębi,;metal
Z girlandą śpiących wokoło gołębi.;metal
Z drżeniem za Diwą szedł Beniowski młody;metal
Prowadząc konia, co się wyrwał z dłoni;metal
I poszedł z wolna, parskając, do wody -;metal
Ta wyglądała spod białych jabłoni;metal
Szarfą księżyca, błękitem pogody -;metal
Za nim koń drugi poszedł rżąc - a oni,;metal
To jest nie konie, lecz nasz rycerz z Diwą,;metal
Weszli w lepiankę pochyłą i krzywą.;metal
Staruszek, Diwy mąż, poświecił w sieni;metal
I drzwi otworzył od panny pokoju.;metal
Na progu stała jakby smętna ksieni;metal
Panna Aniela, cała w białym stroju;metal
Z dyjamentowych zaś miesiąc pierścieni,;metal
Podobny do gwiazd migających roju,;metal
Błyskał na kruczych włosach rozwiniętych,;metal
Właśnie jakoby złote światło świętych.;metal
Beniowski myślał, że anioł, i witał;metal
Potém się zmięszał i o zdrowie spytał -;metal
Co dziś byłoby wielkim uchybieniem!;metal
Nieświatowością! znakiem, że nie czytał;metal
Pani Sand, że się byronicznym cieniem;metal
Nie okrył, że jest niezgrabny w rozmowie,;metal
Że nie wie, jak to mówić romansowie.;metal
Ja sam się dziwię, że za bohatéra;metal
Wziąłem takiego prostego szlachcica!;metal
Oto pierwszy raz swe usta otwiéra;metal
Przed swą kochanką, która w nów księżyca;metal
Swe włosy czarnobłękitne ubiéra;metal
Jakby sawantka albo czarownica,;metal
I słyszy - że nie jak wieszcz lub astronom;metal
Kochanek wita ją - lecz jak ekonom.;metal
Na niezgrabnego już masz patent - a ja,;metal
Rycerzu, wyprę się twoich grubijaństw -;metal
I cała moich poematów zgraja;metal
Lęka się dalszych twoich swarów, pijaństw;metal
Anhelli cię ma biały za lokaja;metal
I Balladyna skora do zabijaństw;metal
Wolałaby się w trupów ukryć gęstwie,;metal
Niż przyznać, że jest z tobą w pokrewieństwie.;metal
Co jest niejaką prawdą, bo te mary;metal
Jedne się rodzą z serca, drugie z głowy,;metal
A trzecie tylko z dziwnéj, twardéj wiary;metal
W przyszłość, a czwarte obłok piorunowy,;metal
A piąte mi koń w stepach przyniósł kary. -;metal
